Station name;Parameter section;Parameter name;Value;Min Value;Max Value
ST2 - PARTICLE;AcquisitionParameter;Vial format number;0;;
ST2 - PARTICLE;AcquisitionParameter;Vial format description;BERNO 2ml TRASP;;
ST2 - PARTICLE;AcquisitionParameter;Number of frames;18;25;4
ST2 - PARTICLE;AcquisitionParameter;Exposure time [us];22;10000;1
ST2 - PARTICLE;AcquisitionParameter;Gain;0;1023;0
ST2 - PARTICLE;AcquisitionParameter;$strobeEnable;1;1;0
ST2 - PARTICLE;AcquisitionParameter;Strobe pulse width [us];22;260;10
ST2 - PARTICLE;AcquisitionParameter;Acquisition delay [us];0;1000;0
ST2 - PARTICLE;AcquisitionParameter;Blue gain;0;1000;0
ST2 - PARTICLE;AcquisitionParameter;Red gain;0;1000;0
ST2 - PARTICLE;AcquisitionParameter;Green gain;0;1000;0
ST2 - PARTICLE;AcquisitionParameter;Strobe out;0;1000;0
ST2 - PARTICLE;AcquisitionParameter;Trigger input;0;1000;0
ST2 - PARTICLE;AcquisitionParameter;A.O.I. Enable;1;1;0
ST2 - PARTICLE;AcquisitionParameter;A.O.I. X Start;576;2047;0
ST2 - PARTICLE;AcquisitionParameter;A.O.I. Y Start;0;2047;0
ST2 - PARTICLE;AcquisitionParameter;A.O.I. X Width;896;2048;16
ST2 - PARTICLE;AcquisitionParameter;A.O.I. Y Width;2048;2048;64
ST2 - PARTICLE;AcquisitionParameter;Camera IP address;10.200.12.72;;
ST2 - PARTICLE;FeatureEnabledParameter;Analysis enable;1;1;0
ST2 - PARTICLE;FeatureEnabledParameter;Overlay information enable;1;1;0
ST2 - PARTICLE;FeatureEnabledParameter;Blobs print enable;1;1;0
ST2 - PARTICLE;FeatureEnabledParameter;Bubbles print enable;0;1;0
ST2 - PARTICLE;FeatureEnabledParameter;Enable saving difference images;0;1;0
ST2 - PARTICLE;FeatureEnabledParameter;Enable save trajectory;1;1;0
ST2 - PARTICLE;FeatureEnabledParameter;Send decimated live;0;1;0
ST2 - PARTICLE;FeatureEnabledParameter;Enable send result image;1;1;0
ST2 - PARTICLE;FeatureEnabledParameter;Send trajectories;0;1;0
ST2 - PARTICLE;FeatureEnabledParameter;Enable meniscus analysis;0;1;0
ST2 - PARTICLE;FeatureEnabledParameter;Meniscus analysis plot;2;2;0
ST2 - PARTICLE;FeatureEnabledParameter;Enable sensor normalization;1;1;0
ST2 - PARTICLE;FeatureEnabledParameter;Enable dynamic ROI;1;1;0
ST2 - PARTICLE;FeatureEnabledParameter;Enable ROI plot on results;1;1;0
ST2 - PARTICLE;FeatureEnabledParameter;Enable ROI bottom expansion;0;1;0
ST2 - PARTICLE;FeatureEnabledParameter;Enable Kalman filter for tracking;0;1;0
ST2 - PARTICLE;FeatureEnabledParameter;Enable filling analysis;0;1;0
ST2 - PARTICLE;FeatureEnabledParameter;Enable blob masking;1;1;0
